,,,,,,,,,,,,
,아이디,이름,설명,재료,필요재화량,재료2,필요 재화량,도움닫기 가속 증가,점프 시 가속 증가,퍼펙트 점프 시 가속 증가,방향 전환 시 감속량 감소,부정 오브젝트 충돌 시 가속감소량 감소
,ID,Name,Description,Ingriedints,Require,Ingriedints2,Require2,AccBeforeJump,AccinJump,AccinPerfectJump,ReduceResistance,ReduceObjectResistance
,100001,골드,"각종 스텟 아이템을 구입하거나, 장비를 제작하는데 쓰이는 재화입니다.",-,-,-,-,-,-,-,-,-
,100002,보석,"각종 스킨이나 파티클을 구입하고, 골드를 구입하는데도 쓰일 수 있는 재화입니다.",-,-,-,-,-,-,-,-,-
,100003,근력 증가,도움닫기에서 더욱 많은 가속을 얻기 위해 운동을 열심히 했습니다.,골드,1000,-,-,100,-,-,-,-
,100004,근력 증가lv.2,도움닫기에서 더욱 많은 가속을 얻기 위해 운동을 열심히 했습니다.,골드,10000,근력 증가,1,1000,-,-,-,-
,100005,근력 증가lv.3,도움닫기에서 더욱 많은 가속을 얻기 위해 운동을 열심히 했습니다.,골드,100000,근력 증가lv.2,1,10000,-,-,-,-
,100006,각력 증가,점프 시 더욱 땅을 세게 박차오르기 위해 점프 연습을 열심히 했습니다.,골드,1000,-,-,-,100,-,-,-
,100007,각력 증가lv.2,점프 시 더욱 땅을 세게 박차오르기 위해 점프 연습을 열심히 했습니다.,골드,10000,각력 증가,1,-,1000,-,-,-
,100008,각력 증가lv.3,점프 시 더욱 땅을 세게 박차오르기 위해 점프 연습을 열심히 했습니다.,골드,100000,각력 증가lv.2,1,-,10000,-,-,-
,100009,최고의 타이밍,순간을 포착해 완벽한 타이밍에 더욱 강한 점프력을 갖도록 노력했습니다.,골드,1000,-,-,-,-,100,-,-
,100010,최고의 타이밍lv.2,순간을 포착해 완벽한 타이밍에 더욱 강한 점프력을 갖도록 노력했습니다.,골드,10000,최고의 타이밍,1,-,-,1000,-,-
,100011,최고의 타이밍lv.3,순간을 포착해 완벽한 타이밍에 더욱 강한 점프력을 갖도록 노력했습니다.,골드,100000,최고의 타이밍lv.2,1,-,-,10000,-,-
,100012,공기역학 공부,더욱 멀리 날아가기 위해 공기역학을 공부해 방향 전환 시 속도가 줄어드는 양을 줄였습니다.,골드,1000,-,-,-,-,,100,-
,100013,공기역학 공부lv.2,더욱 멀리 날아가기 위해 공기역학을 공부해 방향 전환 시 속도가 줄어드는 양을 줄였습니다.,골드,10000,공기역학 공부,1,-,-,-,1000,-
,100014,공기역학 공부lv.3,더욱 멀리 날아가기 위해 공기역학을 공부해 방향 전환 시 속도가 줄어드는 양을 줄였습니다.,골드,100000,공기역학 공부lv.2,1,-,-,-,10000,-
,100015,안아프게 맞는법,공중에서 일어나는 사고는 대부분 살짝 맞음으로서 감속량을 줄여 더욱 멀리 날아갈 수 있습니다.,골드,1000,-,-,-,-,-,-,100
,100016,안아프게 맞는법lv.2,공중에서 일어나는 사고는 대부분 살짝 맞음으로서 감속량을 줄여 더욱 멀리 날아갈 수 있습니다.,골드,10000,안아프게 맞는법,-,-,-,-,-,1000
,100017,안아프게 맞는법lv.3,공중에서 일어나는 사고는 대부분 살짝 맞음으로서 감속량을 줄여 더욱 멀리 날아갈 수 있습니다.,골드,100000,안아프게 맞는법lv.2,-,-,-,-,-,10000
